Subregion,GID_0,NAME_0
Miombo Mopane,AGO,Angola
Benin,BEN,Benin
Miombo Mopane,BWA,Botswana
Burkina Faso,BFA,Burkina Faso
Central Africa,BDI,Burundi
Cabo Verde,CPV,Cabo Verde
Westcentral Africa,CMR,Cameroon
Westcentral Africa,CAF,Central African Republic
Chad,TCD,Chad
Comoros,COM,Comoros
Côte d'Ivoire,CIV,Côte d'Ivoire
Central Africa,COD,Democratic Republic of the Congo
Eastern Africa,DJI,Djibouti
Westsouthern Africa,GNQ,Equatorial Guinea
Eastern Africa,ERI,Eritrea
Eastern Africa,ETH,Ethiopia
Westsouthern Africa,GAB,Gabon
Senegambia,GMB,Gambia
Ghana,GHA,Ghana
Western Africa,GNB,Guinea
Western Africa,GIN,Guinea-Bissau
Kenya,KEN,Kenya
Southern Africa,LSO,Lesotho
Western Africa,LBR,Liberia
Madagascar,MDG,Madagascar
Miombo Mopane,MWI,Malawi
Mali,MLI,Mali
Mauritania,MRT,Mauritania
Mauritius,MUS,Mauritius
Miombo Mopane,MOZ,Mozambique
Miombo Mopane,NAM,Namibia
Niger,NER,Niger
Westcentral Africa,NGA,Nigeria
Westsouthern Africa,COG,Republic of the Congo
Central Africa,RWA,Rwanda
São Tomé and Príncipe,STP,São Tomé and Príncipe
Senegambia,SEN,Senegal
Western Africa,SLE,Sierra Leone
Eastern Africa,SOM,Somalia
Southern Africa,ZAF,South Africa
Northcentral Africa,SSD,South Sudan
Southern Africa,SWZ,Swaziland
Miombo Mopane,TZA,Tanzania
Togo,TGO,Togo
Uganda,UGA,Uganda
Miombo Mopane,ZMB,Zambia
Miombo Mopane,ZWE,Zimbabwe
Northcentral Africa,SDN,Sudan
